emp_prse,jobs_1000,locquotient,h_mean,a_mean,mean_prse,h_median,a_median
4.3000002,1.619,.87,51.51,"107,150",2,48.62,"101,130"
38.599998,.0080000004,.11,54.04,"112,400",6.2,49.39,"102,740"
19.5,.15700001,.81999999,51.66,"107,450",3.4,51.21,"106,520"
5.3000002,1.474,.72000003,48.6,"101,080",1.7,45.85,"95,360"
17.700001,.011,.25999999,62.79,"130,590",4.1,64.66,"134,500"
33.700001,.13,.57999998,64.24,"133,620",5.4,59.66,"124,100"
7.6999998,.82099998,.88999999,49.49,"102,930",2,49.18,"102,290"
9.3999996,.95599997,1.42,29.3,"60,950",2.6,28.7,"59,690"
13.6,.184,1.01,35.89,"74,650",3.5,34.38,"71,510"
7.8000002,.233,.56999999,29.46,"61,280",2,27.71,"57,630"
11.9,.079000004,.74000001,27.07,"56,300",4.3,24.7,"51,370"
27.4,.123,1.5,33.78,"70,260",2.9,34.03,"70,780"
9,.55299997,1.1,33.81,"70,320",3.2,33.53,"69,740"
7.1999998,.94,1.04,31.09,"64,670",2.4,29.8,"61,990"
30,.11,1.21,27.77,"57,750",3.1,27.28,"56,740"
40,.148,1.2,23.6,"49,080",3.5,21.95,"45,660"
12.4,.219,.47999999,34.24,"71,220",2.8,33.35,"69,370"
15.7,.264,.87,30.71,"63,870",2.1,30.61,"63,660"
8.3000002,.46000001,.86000001,33.39,"69,460",1.8,32.39,"67,370"
15,.15700001,.43000001,32.92,"68,470",3.9,33.5,"69,680"
0,.0049999999,.31,23.64,"49,160",2.5,22.69,"47,190"
12.4,.072999999,.69999999,33.2,"69,060",3.2,29.73,"61,840"
31.700001,.045000002,.44999999,*,*,*,*,*
25.1,.114,.58999997,48.14,"100,130",7.6,38.64,"80,370"
11.9,.149,.97000003,37.01,"76,980",5,34.91,"72,610"
43.799999,.026000001,.20999999,41.03,"85,350",3.3,41.28,"85,860"
9.1000004,.296,1.12,38.55,"80,180",3.6,39.05,"81,230"
41.099998,.027000001,.18000001,34.69,"72,160",3.7,34.74,"72,260"
12.5,.0060000001,.090000004,38.74,"80,590",3.2,35.1,"73,010"
11.2,.029999999,.63,39.93,"83,050",4.3,40.99,"85,260"
12.4,1.255,1.6,43.31,"90,080",2.8,42.58,"88,560"
44.5,.072999999,1.47,46.83,"97,400",3.7,45.13,"93,870"
7.1999998,.079000004,.67000002,43.97,"91,460",11.1,35.67,"74,190"
12.5,.022,.34,36.66,"76,250",8.1,34.81,"72,400"
8,.47299999,.80000001,36.46,"75,830",2.3,33.28,"69,230"
39.900002,.090000004,1.72,43.68,"90,850",3,42.28,"87,950"
8.3999996,.52499998,.91000003,40.94,"85,160",2.4,38.71,"80,510"
14,.18700001,.94,39.1,"81,330",4.4,37.72,"78,450"
17.200001,.012,.25999999,45.98,"95,640",3.3,48.27,"100,390"
40.900002,.082000002,.68000001,57.51,"119,620",6.5,54.26,"112,850"
26.799999,.075999998,.55000001,68.96,"143,450",7.3,62.26,"129,500"
36.400002,.107,1.35,36.24,"75,380",6.6,31.37,"65,250"
10.4,.92299998,1.22,43.56,"90,610",4.3,43.69,"90,870"
18,.077,.85000002,67.85,"141,120",25.5,57.57,"119,740"
21,.061000001,3.1500001,49.75,"103,480",14.4,47.97,"99,780"
10.8,.31600001,1.28,46.53,"96,780",3.3,43.82,"91,140"
34.200001,.046,1.08,*,*,*,*,*
35.599998,.28999999,1.16,30.95,"64,380",7.7,27.65,"57,520"
25.4,.097999997,.66000003,19.19,"39,910",5.8,17.53,"36,460"
29.700001,.47999999,.91000003,25.35,"52,730",3.1,23.57,"49,020"
10.3,.405,.89999998,21.88,"45,520",2.8,19.5,"40,560"
26.700001,.074000001,.70999998,20.44,"42,520",11.4,17.55,"36,500"
17.200001,.17,.76999998,25.99,"54,050",5.9,25.25,"52,510"
17.4,.20900001,.91000003,28.89,"60,090",4.7,27.82,"57,870"
2.4000001,.161,1.52,43.81,"91,120",3.1,43.82,"91,150"
20.6,.107,.5,20.73,"43,110",2.4,19.33,"40,200"
30.299999,.42199999,.89999998,22.72,"47,250",4.1,21.9,"45,560"
8,1.775,.93000001,34.44,"71,630",2.9,33.52,"69,730"
12.3,1.156,3.8399999,23.15,"48,150",2.9,21.9,"45,560"
10.5,.70999998,.98000002,17.14,"35,640",4.9,13.99,"29,100"
8.6999998,1.595,.94,23.84,"49,590",8.2,20.57,"42,780"
17.4,.117,.61000001,22.02,"45,810",5.7,21.42,"44,550"
4.3000002,2.3970001,1.12,29.28,"60,900",9.7,26.86,"55,880"
20.5,1.244,1.0599999,35.2,"73,210",4.2,34.38,"71,510"
17,.66399997,.85000002,25.14,"52,290",4,22.52,"46,840"
6.1999998,.37099999,.91000003,31.93,"66,400",2.5,33.22,"69,100"
10.4,.49700001,1.22,27.8,"57,830",3.1,25.42,"52,880"
1.9,.62199998,1.01,40.47,"84,180",3.2,42.15,"87,670"
11.6,4.145,1.54,22.8,"47,430",6.2,21.08,"43,850"
12.8,.27500001,.70999998,22.1,"45,970",3.1,20.8,"43,270"
7.9000001,.69199997,.97000003,23.33,"48,530",4.5,21.71,"45,160"
8.1000004,.30500001,.87,30.96,"64,390",4.5,27.92,"58,080"
18.4,.219,1.46,26.35,"54,810",6.4,23.39,"48,640"
