emp_prse,jobs_1000,locquotient,h_mean,a_mean,mean_prse,h_median,a_median
31.200001,.405,.38,13.41,"27,900",2.8,12.68,"26,380"
45,.011,.050000001,*,*,*,*,*
21.5,.124,.41,11.8,"24,540",3.8,11.15,"23,190"
27.799999,.035,.029999999,19.95,"41,500",6,19.39,"40,340"
26.799999,.015,.090000004,28.19,"58,640",4.1,27.33,"56,840"
24.299999,.064999998,.050000001,17.31,"36,000",3.5,16.98,"35,330"
34.400002,.024,.050000001,17.75,"36,910",5.8,15.78,"32,830"
7.8000002,.028000001,.22,18.33,"38,120",10.6,16.81,"34,960"
24.299999,.44999999,.17,24.24,"50,420",3.9,23.54,"48,960"
28.5,.127,.12,17.32,"36,020",5.9,16.69,"34,720"
25.5,.030999999,.039999999,*,*,*,*,*
41.299999,.014,.029999999,28.47,"59,210",9.7,30.78,"64,030"
11.1,.48699999,.18000001,24.2,"50,340",2.3,23.08,"48,000"
13.7,.055,.2,19.23,"39,990",5.5,18.9,"39,320"
35.099998,.015,.059999999,19.56,"40,670",8.2,16.67,"34,680"
34,.012,.07,20.63,"42,910",11.6,18.58,"38,650"
8.8000002,.208,.94,27.09,"56,340",8.9,26.6,"55,320"
5.0999999,.81599998,.68000001,24.56,"51,090",8,22.38,"46,550"
9.3000002,.28200001,.81999999,23.15,"48,160",2.6,21.1,"43,880"
11.3,1.378,.94,11.66,"24,260",2.5,10.71,"22,270"
27.299999,.21799999,.73000002,11.3,"23,510",2.8,11.16,"23,220"
13,.245,.25999999,13.36,"27,790",4.4,11.9,"24,750"
29.6,.31,2.1700001,16.95,"35,250",6.4,14.69,"30,560"
15.5,.033,.33000001,12.22,"25,410",2.5,11.62,"24,180"
9.1999998,.29499999,.43000001,21.98,"45,710",3.9,21.32,"44,350"
35.599998,.057,.47,17.22,"35,810",9.7,16.57,"34,460"
31.4,.043000001,.12,15.59,"32,430",8.7,14.14,"29,420"
20.6,.075999998,.14,15.16,"31,540",10.7,13.68,"28,460"
27.9,.034000002,.40000001,35.65,"74,150",2.7,35.32,"73,470"
26.6,.050999999,.20999999,39.84,"82,860",6.2,42.7,"88,820"
11.4,.47499999,2.0599999,32.25,"67,080",3.3,32.18,"66,920"
10.7,.435,.52999997,26.13,"54,360",2.1,25.06,"52,120"
41.400002,.026000001,.12,26.38,"54,880",6.4,24.31,"50,570"
13.9,.074000001,.70999998,37.9,"78,830",2.1,37.56,"78,120"
13.6,.133,1.53,29.44,"61,240",3.1,31.62,"65,760"
25.6,.086000003,.16,19.76,"41,100",9.3,17.48,"36,360"
16.1,.098999999,.28999999,20.83,"43,330",5.2,19.34,"40,220"
29.5,.061000001,.28,17.6,"36,610",3.7,17.2,"35,780"
34.700001,.017000001,.079999998,15.97,"33,220",8.4,14.83,"30,840"
18.700001,.14300001,.16,29.18,"60,690",23,18.65,"38,800"
14.4,.071000002,.17,18.16,"37,770",3.6,18.5,"38,470"
29.700001,.059,.11,13.6,"28,280",5.8,13.3,"27,670"
14.9,.84399998,.22,23.53,"48,940",6.9,22.51,"46,820"
20.1,.2,.80000001,22.38,"46,540",10.8,20.48,"42,600"
32.099998,.081,.85000002,24.75,"51,480",8.9,20.99,"43,660"
29.200001,.221,1.05,18.73,"38,970",6.5,18.88,"39,270"
41.5,.56099999,.2,14.49,"30,130",2.4,13.49,"28,050"
16.700001,.067000002,.11,17.06,"35,490",2.9,15.94,"33,150"
22,.221,.60000002,28.22,"58,690",8.1,24.03,"49,980"
34.5,.046,.49000001,20.12,"41,850",7.3,19.9,"41,390"
17.6,.101,.63999999,16.64,"34,600",5.3,13.41,"27,890"
14.6,.026000001,.23,14.27,"29,690",10.6,14.55,"30,260"
36.299999,.079000004,.27000001,17.49,"36,380",4.7,16.63,"34,580"
17.6,.55000001,.19,13.27,"27,590",4,11.78,"24,510"
42.400002,.60299999,.34,15.43,"32,100",4.7,12.19,"25,350"
37.799999,.037,.63999999,24.79,"51,560",3.4,22.46,"46,720"
3.8,2.0350001,.73000002,29.54,"61,440",2,28.7,"59,690"
20.9,.124,.46000001,*,"104,170",6.6,*,"90,180"
.69999999,.52700001,3.29,55.86,"116,190",9.3,69.13,"143,800"
16.4,1.395,1.67,*,"46,230",3.8,*,"46,780"
29.1,.037999999,.34999999,16.56,"34,440",6.8,14.53,"30,210"
7.6999998,1.441,1.17,22.11,"45,990",4.4,20.16,"41,930"
15.8,1.429,.47999999,15.98,"33,250",5.5,14.1,"29,330"
4.4000001,4.888,.40000001,21.45,"44,610",1.5,21.21,"44,110"
5.3000002,4.8600001,.79000002,18.1,"37,650",2.6,16.09,"33,470"
8.1000004,1.156,.82999998,15.45,"32,140",2.3,14.18,"29,480"
13.6,.51999998,1.3,20.47,"42,570",6,22.63,"47,060"
0,.12800001,.50999999,37.05,"77,070",2.4,37.04,"77,040"
18.5,.018999999,.090000004,16.05,"33,390",6.7,15.77,"32,790"
16.799999,.023,.090000004,32.3,"67,180",8.5,32.22,"67,030"
12.4,1.494,1.46,12.03,"25,010",1.8,11.88,"24,720"
16.9,.55299997,.66000003,12.66,"26,340",2.8,11.6,"24,140"
25.799999,.086000003,1.77,27.25,"56,680",2.4,26.58,"55,290"
6.9000001,.156,.74000001,44.39,"92,320",6.3,39.33,"81,800"
13.2,.154,.89999998,21.82,"45,390",10.8,22.25,"46,290"
27,.19,.62,32.28,"67,140",3.1,33.17,"68,990"
25.5,.398,1.25,22.68,"47,180",3.1,22.05,"45,860"
12.8,1.164,.28999999,19.97,"41,540",1.2,19.46,"40,480"
7.5,1.845,.69999999,12.22,"25,410",4.8,10.69,"22,240"
4.4000001,8.5279999,.44999999,14.86,"30,910",2,13.04,"27,120"
29.9,.101,.19,15.67,"32,580",6.4,15.87,"33,000"
11.3,1.543,.31,12.38,"25,740",2.8,11.03,"22,930"
10.7,.77899998,.95999998,18.12,"37,700",4.5,18.12,"37,680"
33.299999,.046,.25,17.48,"36,360",10,14.68,"30,540"
2.2,12.019,.76999998,60.29,"125,400",1.5,49.67,"103,310"
6.9000001,.131,.36000001,*,"46,450",3.6,*,"38,440"
18.4,.162,.81999999,52.69,"109,600",10.7,50.48,"105,000"
5.8000002,1.1900001,.76999998,62.69,"130,400",2.4,55.85,"116,180"
5.1999998,2.4300001,.93000001,63.82,"132,750",2.3,53.91,"112,120"
8.3000002,.257,.54000002,59.78,"124,350",3.6,55.22,"114,870"
5.4000001,1.601,.83999997,51.42,"106,950",3.1,47.85,"99,520"
6.4000001,1.73,.67000002,64.06,"133,240",2.1,60.51,"125,870"
3.3,3.2320001,.81,70.22,"146,060",1.5,63.66,"132,420"
5.8000002,.50400001,.41999999,55.39,"115,220",3,47.33,"98,440"
8.3000002,.36199999,.73000002,57.54,"119,690",3.6,52.51,"109,230"
6.8000002,.62400001,.75,50.6,"105,250",2.7,46.52,"96,760"
11.8,.082999997,.75999999,49.21,"102,350",3.9,43.62,"90,720"
17.799999,.197,.81,45.73,"95,110",3.1,41.76,"86,850"
8,2.6040001,1.41,50.67,"105,400",3,44.38,"92,310"
29.5,.132,.38,24.51,"50,980",7.4,24.37,"50,680"
8.3999996,.15800001,.62,48.5,"100,880",4.4,38.57,"80,220"
7.3000002,.65200001,.51999998,62.74,"130,500",2.5,59.02,"122,760"
11.1,1.132,.77999997,38.51,"80,100",7.3,30.32,"63,070"
41.900002,.018999999,.31999999,*,*,*,*,*
21.5,.052999999,1.6900001,*,*,*,*,*
8.1000004,.29899999,1.17,33.9,"70,520",5.8,28.08,"58,400"
4.8000002,1.631,.67000002,59.58,"123,930",2.2,50.68,"105,420"
9.8999996,.13699999,.34999999,50.08,"104,160",6,45.57,"94,780"
6.5999999,3.2950001,2.52,31.94,"66,430",4.3,26.86,"55,860"
6.1999998,.50300002,.50999999,38.39,"79,840",3.1,34.04,"70,800"
25.6,.015,.23,50.22,"104,450",2.7,49.52,"102,990"
3.9000001,2.4920001,.82999998,49.46,"102,880",1.8,46.48,"96,680"
29,.189,1.74,45.82,"95,310",7.7,34.85,"72,490"
4,2.4000001,.82999998,29.15,"60,630",2.4,26.89,"55,940"
6.6999998,2.135,1.08,29.97,"62,350",1.8,29.67,"61,710"
2.8,2.6029999,1.29,33.82,"70,350",1.6,34.72,"72,220"
8.1999998,1.274,.86000001,32.86,"68,360",5.4,29.15,"60,630"
4.3000002,3.931,1.01,28.65,"59,580",1.7,26.05,"54,180"
11.7,.391,.70999998,31.15,"64,780",7.2,29.81,"62,010"
13.8,1.013,.89999998,29.4,"61,160",9.4,24.32,"50,580"
5.6999998,4.3720002,.94999999,38.67,"80,420",3.9,31.44,"65,390"
14.2,.86699998,1.21,23.32,"48,510",5.7,21.59,"44,910"
9.1000004,.41600001,.81,28.11,"58,470",2.2,26.55,"55,220"
8.6000004,.54299998,.95999998,27.36,"56,920",4.4,26.24,"54,580"
6.4000001,1.5089999,.76999998,30.41,"63,260",1.7,29.98,"62,370"
4.8000002,4.1680002,1,32.65,"67,910",2,29.49,"61,340"
4,8.8570004,1.26,34.46,"71,670",2.2,30.63,"63,710"
3.0999999,10.064,1.16,35.69,"74,240",2.9,30.57,"63,580"
18.5,.60600001,1.47,31.37,"65,250",9.7,31.7,"65,930"
5.6999998,.35100001,.92000002,32.36,"67,320",2,31.01,"64,490"
10.9,.36700001,.69999999,37.06,"77,080",2.3,35.36,"73,540"
9.3000002,1.58,.76999998,37.59,"78,190",1.9,35.2,"73,210"
8.6000004,1.837,1.3,64.38,"133,900",6.1,49.7,"103,370"
17.1,.50099999,.79000002,33.73,"70,170",4.5,31.71,"65,960"
15.5,.354,.95999998,40.78,"84,820",4.1,37.65,"78,310"
14.6,.40400001,1.61,22.29,"46,360",3.7,19.98,"41,550"
7.1999998,2.086,.97000003,39.91,"83,010",3.2,33.95,"70,610"
.2,.29300001,.74000001,29.82,"62,030",6.8,29.62,"61,620"
21.299999,.44499999,.92000002,18.35,"38,160",12.5,13.34,"27,740"
9.6000004,.74199998,.83999997,33.12,"68,890",4.3,31.47,"65,460"
7.5999999,2.1570001,.52999997,40.01,"83,210",2.8,39.21,"81,550"
20.5,.45699999,.62,40.27,"83,760",4.2,38.78,"80,650"
14.2,1.428,.81999999,38.42,"79,910",4.2,35.27,"73,360"
6.6999998,3.77,.63,43.4,"90,280",1.3,42.19,"87,750"
14.8,1.465,.52999997,46.05,"95,780",2.7,43.81,"91,120"
6.5999999,.89999998,1.02,31.78,"66,090",2.9,28.54,"59,360"
6.6999998,.83499998,1.05,43.19,"89,830",2.6,41.97,"87,300"
8.8000002,2.188,.82999998,39.99,"83,190",1.7,37.7,"78,410"
8.5,1.707,1.54,40.53,"84,300",2.5,37.92,"78,870"
5.5,4.1859999,.97000003,22.81,"47,430",1.6,21.08,"43,850"
17.5,1.17,.89999998,27.25,"56,690",5.1,24.6,"51,160"
15.6,.93900001,.41999999,37.87,"78,770",6.2,34.26,"71,260"
31.200001,.056000002,.41999999,54.78,"113,930",5.5,50.56,"105,170"
6,.46799999,.63,33.61,"69,900",1.5,31.61,"65,750"
18.299999,.046,.18000001,29.29,"60,910",4.3,24.79,"51,550"
9.6000004,.63999999,.88,43.09,"89,620",6.9,38.25,"79,560"
26.200001,.237,1.78,30.78,"64,030",10,28.1,"58,440"
25.4,.028999999,.36000001,34.48,"71,710",10.3,35.5,"73,850"
17,.35499999,1.17,28.64,"59,580",9.3,25.32,"52,660"
21.1,.23100001,.5,48.33,"100,530",3.1,48.49,"100,860"
18.700001,.072999999,.50999999,35.66,"74,170",4.7,34.37,"71,490"
43,.027000001,.12,*,*,*,*,*
5.5,1.976,.94,42.87,"89,170",2.9,39.02,"81,170"
20.6,.162,.34999999,43.95,"91,420",2.9,42.86,"89,150"
10.1,.505,.38999999,39.69,"82,560",2.8,38.8,"80,700"
11.7,.34799999,.37,43.06,"89,570",3.9,41.49,"86,300"
17,.133,.36000001,39.33,"81,810",6.1,36.04,"74,960"
12.3,.089000002,.47999999,35.57,"73,980",3.4,30.77,"64,000"
7.5,.85100001,.46000001,32.92,"68,480",2.4,30.52,"63,480"
12.4,.035,.18000001,42.31,"88,000",3.9,40.95,"85,180"
7.1999998,.85600001,.41999999,40.58,"84,400",2.2,41.17,"85,620"
7.6999998,.53500003,.57999998,36.77,"76,480",5,33.79,"70,290"
10.6,.80400002,1.1900001,26.01,"54,090",2.4,25.74,"53,550"
25.200001,.064999998,.34999999,28.4,"59,070",3.3,27.73,"57,680"
15.6,.264,.64999998,26.99,"56,140",3.2,25.5,"53,050"
27.799999,.064000003,.60000002,21.32,"44,340",3.5,20.67,"42,990"
31.1,.044,.52999997,27.86,"57,950",7.2,28.39,"59,050"
14.4,.33899999,.68000001,27,"56,160",3.5,25.52,"53,070"
14.4,.42399999,.47,28.77,"59,830",2.6,29.03,"60,380"
23.4,.048,.38999999,26.42,"54,960",5.5,27.01,"56,170"
16.1,.19400001,.43000001,25.15,"52,320",3.1,24.38,"50,700"
20.4,.097999997,.31999999,24.71,"51,400",3.6,23.62,"49,130"
13.3,.141,.25999999,25.45,"52,940",3.6,24.43,"50,800"
10.4,.41299999,1.14,20.32,"42,280",2.3,19.38,"40,320"
17.5,.032000002,.33000001,27.09,"56,360",10,23.97,"49,850"
24.9,.033,.20999999,27.46,"57,120",4.6,24.97,"51,930"
6.4000001,.068000004,.54000002,32.67,"67,960",6.7,26.03,"54,140"
6.6999998,.046999998,.30000001,30.15,"62,720",8.9,28.16,"58,580"
.5,.035999998,.74000001,*,*,*,*,*
10.9,.189,.23999999,35.98,"74,840",8,28.95,"60,220"
39.700001,.023,.46000001,41.13,"85,550",26.7,27.92,"58,080"
31.4,.018999999,.16,*,*,*,*,*
23.9,.068999998,1.1,43.32,"90,100",16.7,46.26,"96,210"
11.8,.255,.43000001,31.75,"66,030",4.3,29.75,"61,880"
10.3,.48899999,.85000002,29.24,"60,810",4.7,27.07,"56,300"
35.5,.085000001,.43000001,44.27,"92,090",3,44.8,"93,180"
7.6999998,.017000001,.38999999,37.9,"78,840",3,37.82,"78,660"
9.8999996,.059999999,.49000001,33.78,"70,270",5.4,33.61,"69,900"
22.6,.012,.090000004,45.33,"94,300",5.3,46.24,"96,180"
42.200001,.109,1.38,20.53,"42,710",18.7,13.23,"27,520"
15.8,.435,.56999999,38.71,"80,510",7.1,34.72,"72,210"
21.799999,.132,1.46,42.3,"87,990",11.3,36.82,"76,590"
2.9000001,.026000001,1.36,38.07,"79,190",2.4,39.14,"81,410"
10.6,.227,.92000002,35.67,"74,190",1.5,34.69,"72,160"
8,.154,.62,38.09,"79,230",3.4,37.89,"78,820"
15.3,.133,.25,21.39,"44,490",2.6,20.77,"43,200"
10.8,.193,.43000001,20.84,"43,350",2.1,19.9,"41,390"
20,.044,.2,17.51,"36,430",5.1,14.46,"30,080"
16.5,.079999998,.34999999,21.13,"43,950",4.1,19.9,"41,380"
5.0999999,.119,1.13,29.02,"60,360",2.2,27.57,"57,340"
10.8,.42399999,.89999998,20.57,"42,780",3.9,19.3,"40,140"
17.700001,2.0120001,1.0599999,21.51,"44,750",8.3,21.88,"45,500"
12.1,.51499999,1.71,22.88,"47,580",5.2,21.75,"45,250"
13.7,.27000001,.37,20.83,"43,330",3.5,19.38,"40,300"
10.9,.96700001,.56999999,21.35,"44,410",4.3,18.33,"38,140"
23.4,.32699999,1.72,23.44,"48,750",9.6,18.76,"39,020"
8.6000004,.96799999,.44999999,22.01,"45,790",3.8,20.91,"43,490"
16.1,.48199999,.61000001,17.68,"36,780",4,16,"33,280"
13.5,.15899999,.38999999,33,"68,640",4.3,35.02,"72,850"
11.5,.43099999,1.0599999,26.49,"55,100",6.6,22.05,"45,860"
2.8,.271,.44,17.92,"37,270",7.6,15.72,"32,700"
7.9000001,1.284,.47999999,17.87,"37,180",2.6,17.1,"35,570"
20,.35299999,.92000002,18.92,"39,350",2.2,17.36,"36,110"
6.5999999,1.75,2.46,19.43,"40,420",3.6,17.49,"36,380"
12.8,.233,.67000002,24.47,"50,890",3.3,21.28,"44,260"
25.5,.090999998,.61000001,24.21,"50,360",5.2,22.34,"46,460"
45.900002,.050999999,.88,13.49,"28,060",5.2,13.41,"27,900"
3.9000001,8.0430002,1.8200001,65.66,"136,570",5.4,49.08,"102,090"
3.2,.064000003,.60000002,21.07,"43,830",3.7,20.62,"42,890"
1.5,.059999999,.60000002,56.23,"116,960",1.8,52.11,"108,380"
21.200001,.017000001,.38999999,31.68,"65,890",7.8,24.32,"50,590"
.69999999,.124,.62,69.76,"145,110",2.9,71.39,"148,490"
6.0999999,4.8499999,2.3800001,24.32,"50,580",2.9,23.21,"48,280"
19.200001,.183,1.71,22.84,"47,510",25.7,15.99,"33,270"
27.299999,.54500002,1.46,22.18,"46,130",5.1,21.5,"44,720"
32.5,.53899997,1.73,22.73,"47,280",6.4,18.45,"38,370"
12.1,.45899999,.77999997,*,"89,370",3.6,*,"88,230"
32.299999,.28600001,1.27,*,"75,250",7.8,*,"66,700"
10.7,.25299999,.70999998,*,"78,400",4.4,*,"81,690"
0,.023,.44,*,"82,240",1.9,*,"83,010"
4,.067000002,.25999999,*,"90,600",4.7,*,"89,700"
22.1,.20999999,.60000002,*,"81,630",3.8,*,"81,060"
34.400002,.013,.18000001,*,"80,060",5.1,*,"77,480"
3.7,.074000001,.5,*,"89,490",1.9,*,"89,090"
5.4000001,.032000002,.34,*,"92,910",2.6,*,"92,860"
26.6,.017999999,.25999999,*,"80,130",6,*,"75,340"
26.700001,.037,.41999999,*,*,*,*,*
9.1999998,.043000001,.37,*,"101,920",7.4,*,"85,260"
11.2,.164,.63,*,"80,080",4.1,*,"80,360"
8.1000004,.046,.47999999,*,"90,470",3.1,*,"85,960"
11.5,.082000002,.69999999,*,"86,740",3.4,*,"88,840"
20.5,.93699998,.69,*,"82,760",8.7,*,"74,620"
12.5,.25600001,.66000003,*,"77,440",4.3,*,"75,660"
19,.32800001,.76999998,*,"80,020",4.9,*,"77,620"
10.5,.116,1.16,*,"70,250",5.7,*,"71,580"
35.299999,.090999998,.76999998,*,"140,000",9.6,*,"121,940"
25,.033,.38,*,"85,250",4.2,*,"77,410"
37.700001,.449,.67000002,*,"71,100",6.9,*,"62,660"
10.1,.146,.72000003,*,"77,530",6.4,*,"82,500"
13.2,.29699999,.61000001,*,"73,200",2.6,*,"73,140"
8.8999996,.093999997,.49000001,*,"78,510",2.4,*,"82,850"
6.6999998,.037999999,.25999999,*,"69,630",4.1,*,"71,970"
28.5,.074000001,.46000001,*,"73,630",5.1,*,"76,070"
1,.76499999,.80000001,*,"19,030",3,*,"18,340"
11.7,1.04,1.3,30.38,"63,190",8.4,29.16,"60,640"
7.1999998,1.614,1.22,*,"55,100",10.8,*,"50,190"
10.4,2.5929999,.89999998,14.49,"30,140",4,12.48,"25,950"
12.5,1.219,1.24,*,"46,740",5.8,*,"46,050"
12.9,7.4349999,.75,*,"49,690",3.9,*,"47,840"
5.0999999,3.3269999,.75999999,*,"51,040",4.4,*,"49,360"
10.7,.037999999,.44999999,*,"65,700",3.9,*,"62,530"
21.299999,6.2259998,.86000001,*,"54,480",4.7,*,"51,880"
24.799999,.207,1.03,*,"52,770",3.5,*,"48,780"
12.6,.53200001,.41,*,"57,930",2.6,*,"56,380"
10.2,1.566,.94,18.85,"39,210",5.7,16.35,"34,000"
13,2.6889999,1.3,*,"50,380",10.9,*,"41,460"
8.6000004,1.8150001,.41999999,14.5,"30,170",3.7,14.49,"30,140"
42.799999,.025,.57999998,26.13,"54,340",5.7,26.5,"55,120"
44.900002,.092,1.14,*,*,*,*,*
14.3,.041999999,.49000001,22.7,"47,210",3.8,21.81,"45,370"
5.1999998,.58399999,.66000003,29.74,"61,860",3.7,28.36,"58,990"
26.1,.28200001,.44999999,18.87,"39,250",2,18.3,"38,070"
13.7,1.035,.94,26.72,"55,570",4.3,25.61,"53,260"
13.5,4.1110001,.44999999,*,"23,100",3.3,*,"21,690"
10.9,1.028,1.47,33.05,"68,740",8.9,31.99,"66,540"
20.700001,.22,.81999999,39.95,"83,100",3.7,39.05,"81,220"
37,.025,.75,14.72,"30,620",7.2,14.19,"29,520"
41.5,.063000001,.80000001,22.89,"47,610",19.8,17.43,"36,260"
22.799999,.13600001,.64999998,28.84,"59,980",5,27.92,"58,070"
23.5,.035,.70999998,43.74,"90,970",4.4,45.43,"94,490"
37.900002,.096000001,.44,28.68,"59,660",4,27.57,"57,350"
38.599998,.118,.88,24.75,"51,480",10.7,18.36,"38,180"
17.5,.34400001,1.13,14.32,"29,780",4.2,13.41,"27,890"
5.4000001,1.801,1.1799999,23.79,"49,480",2.4,22.36,"46,520"
12.9,.67799997,1.72,25.58,"53,210",6,22.89,"47,610"
13.2,1.143,1.35,13.92,"28,960",2.9,11.6,"24,140"
47.700001,.033,.41,23.94,"49,790",3.5,24.35,"50,650"
37.599998,.052999999,.95999998,21.94,"45,630",9.2,21.13,"43,940"
8.8999996,.079000004,.25999999,14.65,*,7.5,11.83,*
8.1000004,1.263,1.53,37.99,"79,010",3.8,30.98,"64,430"
27.6,.12899999,1.65,*,"107,120",11.7,*,"91,880"
10.5,.94300002,.56999999,*,"56,500",6.3,*,"42,480"
20.700001,.056000002,.43000001,*,"39,510",6.1,*,"33,060"
34.400002,.101,.93000001,*,*,*,*,*
19.299999,.215,.75999999,41.46,*,21.8,26.89,*
29.9,.07,.87,18.22,*,13.1,14.87,*
14.7,.178,.88999999,22.48,"46,750",16.7,11.85,"24,660"
33.700001,.056000002,1.01,19.49,"40,550",20.6,15.44,"32,120"
25.700001,.064000003,1.6,*,*,*,*,*
15.4,.248,.91000003,23.08,"48,010",5.3,19.91,"41,410"
7.5999999,1.589,.97000003,29.83,"62,050",4.5,26.94,"56,030"
8,.648,.94999999,29.92,"62,230",2.6,27.31,"56,810"
16.200001,.26100001,.75,32.02,"66,600",4.5,30.48,"63,400"
9.8999996,.21600001,.68000001,26.28,"54,670",4,25.26,"52,540"
15,.40000001,1.0700001,21.69,"45,110",17,15.03,"31,260"
21.799999,.241,1.6,23.7,"49,290",3.4,21.87,"45,490"
13.2,.616,1.21,19.03,"39,580",6.1,16.44,"34,190"
16.299999,.249,1.17,16.46,"34,240",4.5,12.68,"26,380"
20.299999,.082000002,.88,21.66,"45,060",9.8,19.36,"40,260"
12.1,.37599999,1.09,23.41,"48,680",8.6,19.69,"40,940"
14.7,.141,.97000003,26.44,"55,000",3,26.48,"55,090"
17.6,.345,1.6,21.75,"45,240",5.7,18.88,"39,270"
34.200001,.030999999,.23,43.89,"91,290",5,45.42,"94,480"
15.3,.23999999,1.02,46.34,"96,390",11.8,29.3,"60,940"
17.799999,.79500002,1.03,65.77,"136,800",12,50.79,"105,640"
47.099998,.023,.64999998,83.57,"173,830",28.9,74.16,"154,250"
10.9,.33500001,.75999999,30.64,"63,730",2.4,29.51,"61,370"
20.200001,.22499999,.86000001,59.38,"123,520",20.3,45.37,"94,360"
5.8000002,2.3369999,1.08,58.17,"120,990",1.2,58.99,"122,690"
14.3,1.478,1.67,104.57,"217,500",6.2,#,#
24.4,.28999999,.98000002,93.21,"193,880",9.9,84.49,"175,740"
34.599998,.068999998,.51999998,102.09,"212,340",14.7,95.9,"199,470"
31.799999,.15099999,.74000001,72.3,"150,380",9.4,66.98,"139,330"
30.9,.117,.43000001,112.16,"233,280",9.1,#,#
7.5999999,1.961,.79000002,97.65,"203,110",3.8,95.43,"198,500"
11.9,.64200002,.83999997,51.01,"106,090",7.3,49.57,"103,110"
24.200001,.15800001,2.3199999,53.94,"112,190",14.2,49.95,"103,890"
11.1,.77899998,.88,40.26,"83,740",3.1,41.4,"86,100"
8.6000004,1.587,1,40.99,"85,260",2.4,40.62,"84,490"
7.4000001,1.135,1.26,27.75,"57,720",0.9,27.48,"57,160"
8.5,.80699998,.81,39.72,"82,610",5.1,39.97,"83,150"
31.200001,.035,.79000002,25.11,"52,220",2.8,23.51,"48,890"
17.799999,.068999998,.81999999,29.2,"60,740",4.7,27.6,"57,400"
22.4,.45300001,.93000001,48.3,"100,460",13.1,43.64,"90,760"
3.8,21.219,1.04,32.38,"67,340",1,31.45,"65,410"
37.599998,.096000001,.31999999,*,*,*,*,*
49.400002,.063000001,1.38,44.89,"93,380",2.7,45.22,"94,060"
10,1.149,.98000002,47.88,"99,590",1.7,48.33,"100,540"
27.200001,.114,1.36,33.86,"70,430",3.8,33.73,"70,150"
18.299999,.44999999,1.78,30.31,"63,050",5.5,28.35,"58,960"
10.8,2.1359999,.94,25.19,"52,390",1.8,25.16,"52,330"
10.7,1.086,.73000002,27,"56,160",5.4,27.74,"57,690"
10.1,.616,1.5599999,23.95,"49,810",3.4,23.64,"49,180"
8.5,.66000003,1.37,30.45,"63,330",1.6,29.86,"62,110"
11.4,.22,1.66,34.25,"71,250",3.9,33.53,"69,740"
6.9000001,1.462,1.04,28.12,"58,490",1.4,28.24,"58,740"
17.9,.53799999,2.05,30.11,"62,640",3.3,30.33,"63,080"
17.799999,1.235,.69999999,15.35,"31,930",2.8,14.31,"29,770"
14.5,.122,.51999998,14.69,"30,560",3.6,13.43,"27,940"
4.9000001,3.309,1.13,15.48,"32,200",1.5,15.28,"31,790"
9.5,1.206,2.5699999,14.39,"29,920",1.4,13.94,"29,000"
26.4,.066,.98000002,24.29,"50,520",3.2,23.41,"48,690"
10.3,.815,1.09,21.98,"45,710",1.2,21.71,"45,160"
11.1,.53100002,.73000002,17.04,"35,450",3.2,16.66,"34,660"
26.6,.28299999,.83999997,17.74,"36,910",2.1,17.42,"36,230"
5.5999999,4.3119998,.87,21.96,"45,680",1,21.75,"45,240"
9.5,1.51,1.05,20.38,"42,390",2.3,18.24,"37,930"
15.7,.59200001,1.12,19.31,"40,160",3.9,19.51,"40,570"
22.799999,.028999999,.52999997,27.65,"57,510",5,28.53,"59,350"
41.900002,.037999999,.74000001,22.53,"46,860",14.9,22.19,"46,150"
12.2,1.1440001,1.3099999,19.72,"41,010",3,17.95,"37,330"
6.3000002,.189,.33000001,32.73,"68,080",3.7,33.04,"68,730"
23.799999,.14,.80000001,*,"47,920",3.2,*,"45,660"
14.4,.29899999,1.23,26.95,"56,060",5.7,24.17,"50,270"
9.8000002,4.059,.69999999,11.35,"23,610",2.5,10.83,"22,520"
39.700001,.041999999,.090000004,14.3,"29,750",4.9,13.88,"28,870"
4.1999998,9.2519999,.91000003,12.14,"25,250",0.9,11.7,"24,340"
18.1,.34299999,.93000001,11.98,"24,920",1.6,11.54,"23,990"
18.299999,.19599999,.67000002,29.62,"61,610",2.2,29.71,"61,800"
12.8,.58499998,.93000001,28.4,"59,070",1.6,28.42,"59,120"
19,.27399999,.79000002,12.67,"26,340",1.7,12.14,"25,260"
12,1.313,1.8099999,22.61,"47,020",5.1,18.57,"38,630"
7.9000001,2.402,1.02,18.6,"38,690",3.4,17.97,"37,370"
5.3000002,6.6139998,1.46,15.91,"33,100",1.5,15.88,"33,020"
13.4,.54500002,1.4400001,15.93,"33,140",2.8,15.2,"31,620"
13.7,.29800001,.75999999,18.21,"37,880",1.8,18.17,"37,790"
33.099998,.30599999,1.21,13.97,"29,060",2.2,13.84,"28,780"
17.1,.50800002,.86000001,13.89,"28,880",4.8,13.28,"27,630"
12.5,.97500002,1.13,14.8,"30,790",3,14.3,"29,750"
14.5,.57999998,.89999998,17.62,"36,640",5.8,15.98,"33,240"
6.4000001,.149,.5,37.98,"79,000",8.5,36.86,"76,680"
4.0999999,.55199999,.75,53.29,"110,840",1.5,54.25,"112,830"
1.9,.45699999,1.11,47.74,"99,310",2.1,46.43,"96,570"
11.1,.96399999,1.85,23.36,"48,580",4.3,23.05,"47,940"
3.2,2.832,1.26,31.87,"66,290",1.6,32.04,"66,640"
2.9000001,.111,1.3200001,36.05,"74,990",1.7,35.25,"73,330"
